Call order,Test lane,Primary offer,Business,Category,City,State,Phone,Email,Rating,Reviews,Primary score,Website score,Review score,AI fit score,Confidence,Observable reason,Selection note,Website status,Website,Google Maps,Verify before call,Data freshness,Source(s),Contact name,Contact title,Employee estimate,Revenue estimate,Status,Notes
,,Reviews,Morning Star Painting & Drywall,Painter,,AZ,'+1 602-206-4791,,4.8,21,76,37,76,16,Low,21 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://morningstarpros.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Selberg Electric,Electrician,,AZ,'+1 602-903-8853,,4.9,21,76,37,76,16,Low,21 reviews and a 4.9 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://selbergelectric.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Tru Line Painting,Painter,Chandler,AZ,'+1 602-568-7447,,4.9,21,76,61,76,12,Low,21 reviews and a 4.9 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,No website in source · manual check required,,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Aqua Patrol Pool Service LLC,Pool service,Phoenix metro,AZ,(602) 309-0477,,4.8,20,76,60,76,26,Low,20 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Conversion fix candidate · usability flags,http://www.aquapatrol.com/,https://maps.google.com/?cid=4829785944727519339&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 probe recorded usability flags; inspect manually before defining scope.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,Phoenix Electrical Contracting,Electrician,Phoenix,AZ,'+1 866-650-9644,,4.9,20,76,61,76,12,Low,20 reviews and a 4.9 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,No website in source · manual check required,,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Aspect Roofing LLC,Roofing contractor,Phoenix,AZ,'+1 623-764-6066,,4.9,19,76,37,76,26,Low,19 reviews and a 4.9 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://www.aspectroofingllc.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Galan Roofing,Roofing contractor,,AZ,'+1 602-802-9393,,4.8,19,76,61,76,22,Low,19 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,No website in source · manual check required,,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Jameson & Sons Plumbing,Plumber,,AZ,'+1 480-618-1842,,4.8,19,76,37,76,26,Low,19 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://jamesonsonsplumbingavondale.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,KNE Heating & Cooling,HVAC contractor,Surprise,AZ,'+1 602-695-2587,,4.8,19,76,37,76,26,Low,19 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,http://www.kneheatingcooling.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Tree Rigs,Tree service,Phoenix,AZ,'+1 602-405-8586,,4.9,19,76,61,76,22,Low,19 reviews and a 4.9 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,No website in vendor source · manual check required,,"https://www.google.com/maps/place/Tree+Rigs/@33.6259649,-111.99735439999999,14z/data=!4m8!1m2!2m1!1sTree+Rigs!3m4!1s0x872b73d4ff9e1409:0xbf454a7c16e06656!8m2!3d33.6259649!4d-111.99735439999999",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,,,,,,
,,Reviews,A Plus Garage Doors,Garage door service,Glendale,AZ,(602) 628-8119,,4.8,18,76,26,76,26,Low,18 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Basic website checks pass,https://aplusgaragedoorsaz.com/,https://maps.google.com/?cid=14049600083661477826&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Source record only; verify immediately before outreach.,2026-07-08,Phoenix trades call list · Jul 2026 | Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,Gary and Son Roofing,Roofing contractor,Buckeye,AZ,'+1 602-843-5858,,4.7,18,76,37,76,26,Low,18 reviews and a 4.7 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://garyandsonroofingaz.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Maverick Painting LLC,Painting,Glendale,AZ,'+1 602-489-1023,,4.9,18,76,37,76,16,Low,18 reviews and a 4.9 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://maverickpaintaz.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,"MZ Montana Colors, Auto Paint & Supplies",Auto painting,Phoenix,AZ,'+1 480-955-4091,,4.8,18,76,61,76,12,Low,18 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,No website in source · manual check required,,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Optimal Pool Leak Detection,Pool service,Scottsdale,AZ,(480) 549-5007,,4.8,18,76,26,76,26,Low,18 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Basic website checks pass,https://www.optimalpoolleakdetection.com/,https://maps.google.com/?cid=6162423372318747757&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Source record only; verify immediately before outreach.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,PoPo Plumbing,Plumber,,AZ,'+1 480-548-8392,,4.7,18,76,37,76,26,Low,18 reviews and a 4.7 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://popoemergencyplumbing.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,AZ West Painting,Painter,,AZ,'+1 623-478-9424,,4.8,17,76,37,76,16,Low,17 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,http://azwestpainting.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Essential Roofing Guys Avondale,Roofing contractor,Avondale,AZ,'+1 602-560-6503,,4.8,17,76,37,76,26,Low,17 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://essentialroofingguys.com/avondale-az/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,"Generations Doors & Docks, Inc.",Garage door service,Apache Junction,AZ,(480) 847-9518,,4.8,17,76,26,76,26,Low,17 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Basic website checks pass,https://generationsdd.com/,https://maps.google.com/?cid=9048069334191987606&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Source record only; verify immediately before outreach.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,Rogers Neighborhood Pools LLC,Pool service,Mesa,AZ,(480) 868-1042,,4.8,17,76,26,76,26,Low,17 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Basic website checks pass,http://rogersneighborhoodpools.com/,https://maps.google.com/?cid=2640041818585994235&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Source record only; verify immediately before outreach.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,S.O.S. Pools Service & Repair,Pool service,Phoenix metro,AZ,(623) 759-9898,,4.8,17,76,81,76,22,Low,17 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website build candidate · no site in source,,https://maps.google.com/?cid=2067022072773662888&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,Foremost Roofing,Roofing contractor,,AZ,'+1 480-647-2732,,4.8,16,76,37,76,26,Low,16 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://www.aforemostroofingaz.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Just 1 Plumber LLC,Plumber,,AZ,'+1 623-385-6301,,4.7,15,76,61,76,22,Low,15 reviews and a 4.7 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,No website in source · manual check required,,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,"Acosta Electric, Inc.",Electrician,,AZ,'+1 623-975-9011,,4.7,14,76,61,76,12,Low,14 reviews and a 4.7 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,No website in source · manual check required,,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,"Brother Garage Doors LLC - Garage Door Springs Repair, Installation, Replacement in Avondale AZ",Garage door supplier,,AZ,'+1 602-579-1775,,4.7,14,76,37,76,26,Low,14 reviews and a 4.7 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://brothergaragedoors.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Carefree Crystal Clear Pools,Pool service,Carefree,AZ,(480) 488-2636,,4.7,14,76,26,76,26,Low,14 reviews and a 4.7 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Basic website checks pass,https://www.carefreecrystalclearpools.com/,https://maps.google.com/?cid=4903552142212890616&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Source record only; verify immediately before outreach.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,JZM Painting LLC,Painter,,AZ,'+1 602-708-0727,,4.8,14,76,37,76,16,Low,14 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://jzmpainting.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,"Ac Squad, Llc",Appliance repair service,Buckeye,AZ,'+1 623-512-1128,,4.9,13,76,37,76,16,Low,13 reviews and a 4.9 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://www.acsquadaz.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Brenner Garage Door,Garage door service,Mesa,AZ,(480) 520-9000,,4.7,13,76,26,76,26,Low,13 reviews and a 4.7 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Basic website checks pass,https://brennergaragedoor.com/,https://maps.google.com/?cid=13921647710358069188&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Source record only; verify immediately before outreach.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,Myers Mobile Home Roofing,Roofing contractor,Phoenix,AZ,'+1 602-470-0787,,4.8,13,76,61,76,22,Low,13 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,No website in source · manual check required,,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,A & J Electric,Electrician,,AZ,'+1 602-242-8008,,4.7,12,76,37,76,16,Low,12 reviews and a 4.7 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://www.ajelectricpro.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Advantage Garage Door Repair,Garage door service,Litchfield Park,AZ,(602) 898-5488,,4.7,12,76,37,76,26,Low,12 reviews and a 4.7 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website signal is stale/ambiguous,http://advgaragedoor.com/,https://maps.google.com/?cid=976608343401237160&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Source record only; verify immediately before outreach.,2026-07-08,Phoenix trades call list · Jul 2026 | Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,CurrentElectric Inc,Electrician,Phoenix,AZ,'+1 520-346-8937,,4.7,12,76,61,76,12,Low,12 reviews and a 4.7 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,No website in source · manual check required,,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,The Chandler Overhead Door Service,Garage door service,Chandler,AZ,(480) 914-3657,,4.8,11,76,81,76,22,Low,11 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website build candidate · no site in source,,https://maps.google.com/?cid=9187369535391825239&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,Urbn painting company LLC,Painting,,AZ,'+1 602-706-6142,,4.9,11,76,61,76,12,Low,11 reviews and a 4.9 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,No website in source · manual check required,,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Mason Electric LLC,Electrician,,AZ,'+1 319-242-2864,,4.9,10,76,37,76,16,Low,10 reviews and a 4.9 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,http://masonelectric-az.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Winsupply HVAC of Surprise,Heating equipment supplier,Surprise,AZ,'+1 602-262-3262,,4.9,10,76,37,76,16,Low,10 reviews and a 4.9 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://www.winsupplyinc.com/Location/Surprise-AZ/85379/HVAC-Supplies,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Desert Garage Doors AZ,Garage door service,Scottsdale,AZ,(602) 344-9322,acronenberg@a1garage.com,4.8,48,75,70,75,32,Low,48 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Conversion fix candidate · usability flags,https://www.desertgaragedoorsaz.com/,https://maps.google.com/?cid=15871184644239235241&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 probe recorded usability flags; inspect manually before defining scope.,2026-07-08,Phoenix trades call list · Jul 2026 | Phoenix pool/garage probe · Jul 8,Adam Cronenberg,,,,,
,,Reviews,"Right Way Roofing, Inc.",Roofing contractor,Phoenix,AZ,'+1 602-691-4753,j.clark@azroof.com,4.9,47,75,47,75,32,Low,47 reviews and a 4.9 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://azroof.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,Johnnie Clark,,,,,
,,Reviews,Aachen Tree Service,Tree service,Chandler,AZ,'+1 480-688-3657,b.white@aachentreeservice.com,4.8,44,75,47,75,54,Low,44 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://aachentreeservice.com/,"https://www.google.com/maps/place/Aachen+Tree+Service/@33.234221399999996,-111.8201742,14z/data=!4m8!1m2!2m1!1sAachen+Tree+Service!3m4!1s0x872b00042daa814b:0xd511c8fbfa860578!8m2!3d33.234221399999996!4d-111.8201742",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,Bob White,,10,,,
,,Reviews,One Way Electric & Generator,Electrician,Phoenix,AZ,'+1 623-294-3574,everett.onewayelectric@yahoo.com,4.9,44,75,47,75,22,Low,44 reviews and a 4.9 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://onewayelectric.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,Everett Barnhill,,,,,
,,Reviews,"American Garage Door Co., Inc.",Garage door supplier,Phoenix,AZ,'+1 602-437-3300,billtagatz@garagedoors.net,4.8,32,75,47,75,32,Low,32 reviews and a 4.8 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://garagedoors.net/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,Bill Tagatz,,,,,
,,Reviews,H3 Painting Arizona,Painter,Phoenix,AZ,'+1 623-301-0637,tim@hmre.net,5,24,75,43,75,22,Low,24 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://www.h3paint.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,Tim Haverstick,,,,,
,,Reviews,"Veregy, LLC",General contractor,Phoenix,AZ,'+1 800-460-0995,mtennenbaum@ctsgroup.com,4.7,24,75,43,75,32,Low,24 reviews and a 4.7 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://veregy.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,Michael Tennenbaum,,,,,
,,Reviews,AZ HVAC Solutions,HVAC contractor,,AZ,'+1 623-236-6695,,5,19,74,37,74,26,Low,19 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://azhvacsolutions.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Glendale Roofing Pros - Roof Repair & Replacement,Roofing contractor,,AZ,'+1 602-753-5333,,5,19,74,37,74,26,Low,19 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://glendaleazroofing.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,On The Wire Electric Inc.,Electrical installation service,,AZ,'+1 602-316-3140,,5,19,74,37,74,16,Low,19 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://otweinc.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,The Golden Rule Garage Door Company,Garage door service,Phoenix,AZ,(480) 482-0434,,5,19,74,78,74,26,Low,19 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website rescue candidate · parked/thin page,https://thegoldenrulegaragedoorcompany.com/,https://maps.google.com/?cid=7348118667820821893&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 probe identified a parked or nearly empty page; inspect before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,Turbid Water Solutions,Plumber,Phoenix,AZ,'+1 602-561-1748,,5,19,74,37,74,26,Low,19 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://turbidwatersolutions.com/home,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Aquamosis Pool Water Purification,Pool service,Surprise,AZ,(623) 414-1358,,5,18,74,60,74,26,Low,18 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Conversion fix candidate · usability flags,https://aquamosisaz.com/,https://maps.google.com/?cid=12128468820066727251&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 probe recorded usability flags; inspect manually before defining scope.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,Blue Mountain Electric,Electrician,,AZ,'+1 602-834-3885,,5,18,74,37,74,16,Low,18 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://bluemountainelectricaz.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,FCO Electrical,Electrical installation service,,AZ,'+1 480-245-3499,,5,18,74,37,74,16,Low,18 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,http://www.fcoelectric.us/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Original Plumbing,Plumber,,AZ,'+1 602-903-9165,,5,18,74,37,74,26,Low,18 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,http://originalplumbingaz.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Pacific Air Heating and cooling LLC,HVAC contractor,,AZ,'+1 714-319-3522,,5,18,74,61,74,22,Low,18 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,No website in source · manual check required,,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Pro-Connect Electrical Solutions LLC,Electrician,,AZ,'+1 480-333-0022,,5,18,74,37,74,16,Low,18 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,http://www.pro-connectelectrical.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Sun City West Plumbing & Air Conditioning,Plumber,,AZ,'+1 480-518-7878,,5,18,74,37,74,26,Low,18 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,http://scwplumbing.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Sunflower Pools Service & Repair,Pool service,Chandler,AZ,(623) 523-4636,,5,18,74,26,74,26,Low,18 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Basic website checks pass,https://sunflowerpool.com/,https://maps.google.com/?cid=17266162203831753957&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Source record only; verify immediately before outreach.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,WARTHOG ROOFING LLC,Roofing contractor,,AZ,'+1 602-785-6420,,5,18,74,61,74,22,Low,18 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,No website in source · manual check required,,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,24 HR Phoenix,Water damage restoration service,Phoenix,AZ,'+1 602-932-1788,,5,17,74,37,74,26,Low,17 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://24hrwaterdamagerestorationphoenix2.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,"Gabriel & Sons Pools, LLC",Pool service,Phoenix,AZ,(602) 471-5953,,5,17,74,26,74,26,Low,17 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Basic website checks pass,http://gabrielandsonspools.com/,https://maps.google.com/?cid=7815947134938131556&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Source record only; verify immediately before outreach.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,No Bull Pool Guys Surprise,Pool service,Surprise,AZ,(602) 228-6716,,5,17,74,26,74,26,Low,17 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Basic website checks pass,http://www.nobullpoolguys.com/,https://maps.google.com/?cid=4068480548678544968&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Source record only; verify immediately before outreach.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,Plumber Priority One Of Phoenix,Plumber,Phoenix,AZ,'+1 480-378-3970,,5,17,74,37,74,26,Low,17 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,http://phoenixpriorityone.site/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,"Quality Solutions AZ, LLC",Electrician,,AZ,'+1 623-229-8675,,5,17,74,37,74,16,Low,17 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://azqualitysolutions.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Solutions Pool Care,Pool service,Fountain Hills,AZ,(480) 204-0497,,5,17,74,26,74,26,Low,17 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Basic website checks pass,https://www.solutionspoolcare.com/,https://maps.google.com/?cid=8797957066488312101&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Source record only; verify immediately before outreach.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,A&C Garage Door Repair Services,Garage door supplier,,AZ,'+1 602-799-7766,,5,16,74,37,74,26,Low,16 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://acgaragedoorrepairsvc.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Aqua Cop Pool Service LLC,Pool service,Chandler,AZ,(480) 586-8281,,5,16,74,37,74,26,Low,16 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website signal is stale/ambiguous,https://sites.google.com/view/aquacoppoolservice/home,https://maps.google.com/?cid=9397901843241475037&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Source record only; verify immediately before outreach.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,,,
,,Reviews,Arizona Electrical Experts LLC,Electrician,,AZ,'+1 602-480-5781,,5,16,74,37,74,16,Low,16 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://azelectricalexperts.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
,,Reviews,Blue City Cooling and Heating,HVAC contractor,,AZ,'+1 602-290-3002,,5,16,74,37,74,26,Low,16 reviews and a 5.0 rating create a plausible review-process opportunity; local peer context still needs confirmation.,,Website listed · not live-audited,https://azbluecity.com/,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,,,
